TIMESTAMP,SG_SENSOR,SG_DATA,SG_STATUS,VIBRATION_DATA,TEMPERATURE_DATA,FOG_PRESENCE_DATA,WEATHER_ALERT_DATA
2024-10-04 02:13:39.450,SG2,-2.735238,upper_threshold_exceeded,low,,False,
2024-10-04 02:13:39.450,SG2,-2.735238,upper_threshold_exceeded,low,,False,
2024-10-04 02:13:40.250,SG1,14.91141,upper_threshold_exceeded,,,,
2024-10-04 02:13:41.150,SG2,-7.149953,lower_threshold_exceeded,low,26.78120014285411,False,
2024-10-04 02:13:41.150,SG2,-7.149953,lower_threshold_exceeded,moderate,26.78120014285411,False,
2024-10-04 02:13:41.150,SG2,-7.149953,lower_threshold_exceeded,moderate,26.78120014285411,False,
2024-10-04 02:13:41.150,SG2,-7.149953,lower_threshold_exceeded,moderate,19.63994939209833,False,
2024-10-04 02:13:42.900,SG1,10.45525,lower_threshold_exceeded,low,21.78556285755873,False,
2024-10-04 02:13:44.200,SG2,-7.459406,lower_threshold_exceeded,,,,
2024-10-04 02:13:44.350,SG2,-7.74818,lower_threshold_exceeded,moderate,20.301151049705133,False,Tornado Warning
2024-10-04 02:13:42.200,SG1,9.85694,lower_threshold_exceeded,low,17.351198981164806,False,
2024-10-04 02:13:43.350,SG2,-7.913246,lower_threshold_exceeded,low,20.4853877467402,False,
2024-10-04 02:13:43.400,SG1,10.06325,lower_threshold_exceeded,low,24.84322495266445,False,
2024-10-04 02:13:43.400,SG1,10.06325,lower_threshold_exceeded,low,24.84322495266445,False,
2024-10-04 02:13:43.400,SG1,10.06325,lower_threshold_exceeded,low,16.489734530613237,False,
2024-10-04 02:13:43.400,SG1,10.06325,lower_threshold_exceeded,high,16.489734530613237,False,
2024-10-04 02:13:43.700,SG1,14.99395,upper_threshold_exceeded,moderate,20.025567283212304,True,
2024-10-04 02:13:44.350,SG2,-7.74818,lower_threshold_exceeded,moderate,20.301151049705133,False,
2024-10-04 02:13:44.350,SG2,-7.74818,lower_threshold_exceeded,moderate,32.316210562426434,False,
2024-10-04 02:13:44.600,SG2,-7.603793,lower_threshold_exceeded,moderate,14.15660981190234,,
2024-10-04 02:13:45.100,SG1,15.11773,upper_threshold_exceeded,,,,
2024-10-04 02:13:45.600,SG1,9.526857,lower_threshold_exceeded,low,13.845678417830223,False,
2024-10-04 02:13:45.550,SG1,15.03519,upper_threshold_exceeded,,18.389692418971624,,
2024-10-04 02:13:45.550,SG1,15.03519,upper_threshold_exceeded,,24.067586086848348,,
2024-10-04 02:13:46.250,SG2,-2.260714,upper_threshold_exceeded,,,,
2024-10-04 02:13:46.250,SG1,8.701684,lower_threshold_exceeded,,,,
2024-10-04 02:13:46.050,SG1,9.939476,lower_threshold_exceeded,moderate,22.60970782808449,False,
2024-10-04 02:13:46.050,SG1,9.939476,lower_threshold_exceeded,moderate,22.60970782808449,False,
2024-10-04 02:13:46.050,SG1,9.939476,lower_threshold_exceeded,moderate,21.48492336616593,False,
2024-10-04 02:13:46.050,SG1,9.939476,lower_threshold_exceeded,moderate,21.48492336616593,False,
2024-10-04 02:13:46.350,SG1,15.2002,upper_threshold_exceeded,,,,
2024-10-04 02:13:46.500,SG2,-2.652643,upper_threshold_exceeded,moderate,14.043482513986756,,
2024-10-04 02:13:48.200,SG2,-2.169969,upper_threshold_exceeded,,,,
2024-10-04 02:13:47.850,SG1,15.36528,upper_threshold_exceeded,,,,
2024-10-04 02:13:47.000,SG1,9.753786,lower_threshold_exceeded,moderate,18.77305941998565,True,
2024-10-04 02:13:47.000,SG1,9.753786,lower_threshold_exceeded,moderate,18.77305941998565,False,
2024-10-04 02:13:47.000,SG1,9.753786,lower_threshold_exceeded,moderate,16.23131917821255,False,
2024-10-04 02:13:47.000,SG1,9.753786,lower_threshold_exceeded,moderate,16.23131917821255,False,
2024-10-04 02:13:48.550,SG1,9.585977,lower_threshold_exceeded,high,22.80392263184117,False,
2024-10-04 02:13:49.600,SG1,16.62103,upper_threshold_exceeded,low,25.269010260174515,,
2024-10-04 02:13:49.950,SG1,8.905194,lower_threshold_exceeded,,22.854452553465833,False,
2024-10-04 02:13:50.500,SG2,-2.376274,upper_threshold_exceeded,moderate,10.66367403704126,True,
2024-10-04 02:13:50.500,SG2,-2.376274,upper_threshold_exceeded,moderate,23.43130095187257,True,
2024-10-04 02:13:50.500,SG2,-2.376274,upper_threshold_exceeded,high,23.43130095187257,True,
2024-10-04 02:13:50.550,SG1,8.843277,lower_threshold_exceeded,,,,
2024-10-04 02:13:49.250,SG2,-1.695567,upper_threshold_exceeded,moderate,23.794846102466337,False,
2024-10-04 02:13:49.250,SG2,-1.695567,upper_threshold_exceeded,moderate,16.13587392731214,False,
2024-10-04 02:13:49.250,SG2,-1.695567,upper_threshold_exceeded,low,16.13587392731214,False,
2024-10-04 02:13:50.250,SG2,-2.31448,upper_threshold_exceeded,moderate,20.93227157384714,True,
2024-10-04 02:13:50.250,SG2,-2.31448,upper_threshold_exceeded,moderate,20.93227157384714,False,
2024-10-04 02:13:51.700,SG2,-1.922429,upper_threshold_exceeded,high,17.62527344419522,,
2024-10-04 02:13:50.300,SG2,-2.190648,upper_threshold_exceeded,high,16.69106767615806,False,
2024-10-04 02:13:50.300,SG2,-2.190648,upper_threshold_exceeded,high,24.26216667398112,False,
2024-10-04 02:13:52.400,SG1,15.4244,upper_threshold_exceeded,high,,,
2024-10-04 02:13:51.100,SG2,-1.943108,upper_threshold_exceeded,moderate,17.578829635668743,False,
2024-10-04 02:13:52.550,SG1,8.410042,lower_threshold_exceeded,moderate,13.761084090175752,False,
2024-10-04 02:13:52.650,SG1,18.00323,upper_threshold_exceeded,low,28.162056519658176,False,
